PK,lat1,lon1,lat2,lon2
176541071035,3595.533333,666.85,3597.15,666.666667
176558327032,2905.166667,178.816667,2914.116667,131.516667
176553228031,2538.3,333.65,2546.3,342.583333
176557624004,2371.95,160.916667,2371.333333,159.7
176547618032,3133,-87.983333,3128.916667,-82.316667
176557525057,3338.316667,1029.683333,3518.516667,694.866667
176542420009,2245.65,-345.733333,2260.116667,-377.9
176533893021,2758.866667,130.683333,2759.883333,169.083333
176552761038,4036.166667,-1670.533333,4080,-1800
176548153014,2732.116667,1437.816667,2740.716667,1420.1
176554546015,2997.95,637.666667,2999.3,636.366667
176540113001,2940.583333,152.866667,2940.383333,151.25
176540283019,3240,-840,3134.5,-340.816667
176530830072,3101.916667,52.533333,3101.116667,41
176542008015,2909.45,494.616667,2890.2,499.283333
176547607023,3091.816667,245.2,3104.483333,254.616667
176553134022,2673.15,700.183333,2688.866667,696.983333
176533213002,3324.15,2273.7,3323.783333,2273
176543676017,3638.833333,1518.366667,3632.3,1496.333333
176548000080,1626.15,3020.6,1614.516667,3028.35
176537551054,2753.95,434.483333,2757.466667,430.9
176543609051,2325,1420.033333,2319.566667,1420.666667
176553214021,2987.083333,-356.2,3000,-480
176541517032,2964.066667,-43.85,2962.933333,-29.016667
176532784029,3004.15,725.616667,2993.266667,732.85
176553045066,1544.966667,1966.116667,1518.9,2009.566667
176555906054,3123.6,1.05,3120.833333,-3.166667
176531012029,3262.166667,687.683333,3263.283333,689.783333
176556824003,2611.816667,430.8,2611.516667,425.65
176542505038,2853.566667,618.333333,2844,628.8
176540394046,3082.983333,149.966667,3084.716667,135.75
176539265033,2698.8,9.333333,2739.566667,-18.7
176539400028,2617.333333,442.266667,2648.616667,413.416667
176548949017,3049.116667,879.5,3046.016667,865.733333
176547962003,2768.083333,-71.15,2762.75,-70
176551402010,2484.966667,1183.083333,2486.016667,1186.416667
176538174034,2876.4,1006.683333,2880.066667,1002.183333
176540747039,2481.066667,1994.333333,2477.516667,2003.15
176547098037,2230.466667,-342.533333,2230.5,-337.133333
176541883005,2778.05,362.066667,2783.05,356.066667
176546330050,2699.15,785.483333,2693.55,835.083333
176537984013,3517.583333,1882.866667,3509.783333,1880.166667
176541142012,2934.783333,560.416667,2937.366667,570.383333
176534138035,3159.333333,798.183333,3153.583333,797.266667
176542401037,2446.433333,2405.483333,2414.75,2449.2
176544924043,3518.766667,524.233333,3522.933333,530.55
176531359008,3317.316667,2925.716667,3307.75,2910.15
176555941051,2376.283333,2066.45,2373.016667,2078.416667
176529263016,1200,-3600,1560,-3300
176558732005,3575.483333,1069.983333,3574.033333,1064.366667
176537912015,3289.116667,804.75,3270.366667,809.766667
176539184024,2896.4,253.116667,2908.266667,231.366667
176540166013,3012.583333,398.566667,3013.316667,410.9
176547000010,3091.233333,1222.8,3083.266667,1221.6
176535996036,3588.533333,1076.166667,3588.116667,1078.116667
176528946024,3420,-900,3417,-840
176553793005,3335.866667,360,3336.383333,420
176553068066,1819.333333,-563.733333,1819.333333,-564.1
176530397025,2404.183333,1968.616667,2410.633333,1979.65
176549624002,3174.216667,283.883333,3166.766667,265.483333
176551909017,3104.85,96.716667,3103.85,81.266667
176543156020,1821.116667,-950.15,1885.283333,-961.966667
176539830014,2321.883333,-466.416667,2336.716667,-470.3
176557178033,3204.183333,-356.733333,3204.933333,-370
176555424026,2499.633333,-199.3,2505.15,-196.233333
176538520004,2847.633333,517.8,2847.7,520.266667
176558467067,1531.5,3315,1527.783333,3320.166667
176557616055,2176.616667,2628,2148.966667,2642.483333
